 X ,YCOO, ZCOO ,SCAL
  4.700000000000000E-005 ,  3.400000000000000E-005 , 0,  3.946344063373798E-003
  4.700000000000000E-005 ,  3.800000000000000E-005 , 0,  5.035284968125480E-003
  4.700000000000000E-005 ,  4.200000000000000E-005 , 0,  5.839015999046179E-003
  4.700000000000000E-005 ,  4.700000000000000E-005 , 0,  6.690726533444644E-003
  4.700000000000000E-005 ,  5.450000000000000E-005 , 0,  7.842762606854285E-003
  4.700000000000000E-005 ,  6.549999999999999E-005 , 0,  9.364729302124362E-003
  4.700000000000000E-005 ,  8.150000000000000E-005 , 0,  1.113649731328827E-002
  4.700000000000000E-005 ,  1.050000000000000E-004 , 0,  1.251159180904261E-002
  4.700000000000000E-005 ,  1.400000000000000E-004 , 0,  1.295506076304790E-002
  4.700000000000000E-005 ,  1.955000000000000E-004 , 0,  1.283009848720425E-002
  4.700000000000000E-005 ,  2.650000000000000E-004 , 0,  1.276509789123005E-002
  5.450000000000000E-005 ,  2.000000000000000E-006 , 0,  1.256606571391339E-007
  5.450000000000000E-005 ,  6.000000000000000E-006 , 0,  1.537519756687292E-006
  5.450000000000000E-005 ,  9.999999999999999E-006 , 0,  2.651672014558238E-006
  5.450000000000000E-005 ,  1.400000000000000E-005 , 0,  3.760754349372244E-006
  5.450000000000000E-005 ,  1.800000000000000E-005 , 0,  4.872824684205996E-006
  5.450000000000000E-005 ,  2.200000000000000E-005 , 0,  5.991299700349636E-006
  5.450000000000000E-005 ,  2.600000000000000E-005 , 0,  1.075209568733274E-004
  5.450000000000000E-005 ,  3.000000000000000E-005 , 0,  2.178892612069972E-003
  5.450000000000000E-005 ,  3.400000000000000E-005 , 0,  4.416841530386744E-003
  5.450000000000000E-005 ,  3.800000000000000E-005 , 0,  5.785279482782052E-003
  5.450000000000000E-005 ,  4.200000000000000E-005 , 0,  6.779534755423699E-003
  5.450000000000000E-005 ,  4.700000000000000E-005 , 0,  7.842811023970940E-003
  5.450000000000000E-005 ,  5.450000000000000E-005 , 0,  9.328644613746329E-003
  5.450000000000000E-005 ,  6.549999999999999E-005 , 0,  1.136834351165373E-002
  5.450000000000000E-005 ,  8.150000000000000E-005 , 0,  1.380269542866797E-002
  5.450000000000000E-005 ,  1.050000000000000E-004 , 0,  1.559424199701247E-002
  5.450000000000000E-005 ,  1.400000000000000E-004 , 0,  1.611355516318451E-002
  5.450000000000000E-005 ,  1.955000000000000E-004 , 0,  1.606559469100796E-002
  5.450000000000000E-005 ,  2.650000000000000E-004 , 0,  1.602938205088161E-002
  6.549999999999999E-005 ,  2.000000000000000E-006 , 0,  1.425679550561456E-007
  6.549999999999999E-005 ,  6.000000000000000E-006 , 0,  1.801782143995401E-006
  6.549999999999999E-005 ,  9.999999999999999E-006 , 0,  3.104462295941452E-006
  6.549999999999999E-005 ,  1.400000000000000E-005 , 0,  4.403105187974969E-006
  6.549999999999999E-005 ,  1.800000000000000E-005 , 0,  5.708260623191153E-006
  6.549999999999999E-005 ,  2.200000000000000E-005 , 0,  7.026010969672108E-006
  6.549999999999999E-005 ,  2.600000000000000E-005 , 0,  3.202296728497941E-005
  6.549999999999999E-005 ,  3.000000000000000E-005 , 0,  1.408856183040768E-003
  6.549999999999999E-005 ,  3.400000000000000E-005 , 0,  4.708812306144455E-003
  6.549999999999999E-005 ,  3.800000000000000E-005 , 0,  6.661141785371459E-003
  6.549999999999999E-005 ,  4.200000000000000E-005 , 0,  7.979930683442171E-003
  6.549999999999999E-005 ,  4.700000000000000E-005 , 0,  9.364790619755120E-003
